Id,Category
0,6
1,6
2,8
3,4
4,3
5,9
6,6
7,0
8,2
9,4
10,5
11,8
12,6
13,0
14,4
15,0
16,1
17,5
18,4
19,5
20,7
21,8
22,6
23,6
24,1
25,5
26,8
27,3
28,7
29,2
30,3
31,5
32,3
33,4
34,9
35,3
36,6
37,7
38,7
39,5
40,4
41,9
42,0
43,6
44,4
45,6
46,9
47,7
48,7
49,2
50,4
51,3
52,5
53,7
54,1
55,7
56,9
57,2
58,2
59,9
60,9
61,0
62,4
63,6
64,0
65,4
66,8
67,8
68,6
69,9
70,6
71,6
72,2
73,6
74,9
75,2
76,1
77,8
78,7
79,8
80,4
81,1
82,0
83,3
84,5
85,3
86,8
87,1
88,2
89,0
90,5
91,9
92,0
93,4
94,0
95,9
96,0
97,2
98,0
99,5
100,4
101,0
102,3
103,2
104,5
105,6
106,5
107,0
108,2
109,4
110,1
111,6
112,7
113,6
114,1
115,6
116,2
117,0
118,7
119,2
120,6
121,0
122,8
123,9
124,7
125,4
126,7
127,3
128,1
129,4
130,0
131,8
132,2
133,6
134,1
135,2
136,1
137,7
138,4
139,2
140,7
141,3
142,7
143,3
144,1
145,1
146,6
147,7
148,7
149,2
150,4
151,6
152,2
153,3
154,8
155,0
156,1
157,9
158,8
159,6
160,2
161,3
162,1
163,8
164,6
165,9
166,3
167,8
168,1
169,5
170,8
171,0
172,6
173,0
174,7
175,7
176,6
177,0
178,5
179,2
180,5
181,2
182,4
183,8
184,3
185,7
186,6
187,6
188,6
189,0
190,8
191,6
192,4
193,6
194,6
195,0
196,4
197,1
198,6
199,9
200,3
201,3
202,5
203,2
204,6
205,7
206,1
207,1
208,5
209,2
210,6
211,9
212,8
213,4
214,2
215,2
216,9
217,7
218,6
219,3
220,0
221,9
222,1
223,0
224,5
225,1
226,8
227,7
228,7
229,0
230,8
231,8
232,6
233,0
234,6
235,4
236,6
237,9
238,3
239,9
240,7
241,1
242,3
243,8
244,1
245,5
246,1
247,0
248,7
249,7
250,3
251,5
252,9
253,5
254,2
255,9
256,7
257,4
258,3
259,4
260,1
261,1
262,0
263,4
264,3
265,2
266,0
267,9
268,2
269,1
270,7
271,0
272,1
273,7
274,7
275,9
276,7
277,3
278,3
279,2
280,6
281,6
282,9
283,0
284,7
285,2
286,9
287,6
288,1
289,2
290,4
291,4
292,8
293,8
294,1
295,8
296,3
297,4
298,7
299,0
300,2
301,8
302,7
303,8
304,1
305,5
306,6
307,4
308,5
309,8
310,6
311,2
312,8
313,3
314,4
315,5
316,9
317,2
318,3
319,5
320,3
321,3
322,4
323,1
324,2
325,9
326,2
327,0
328,2
329,6
330,4
331,9
332,8
333,8
334,1
335,2
336,4
337,4
338,7
339,5
340,4
341,9
342,7
343,4
344,5
345,0
346,9
347,0
348,0
349,9
350,0
351,2
352,0
353,0
354,0
355,0
356,2
357,7
358,9
359,5
360,6
361,5
362,2
363,3
364,2
365,2
366,3
367,3
368,4
369,8
370,2
371,5
372,8
373,3
374,0
375,3
376,2
377,5
378,6
379,2
380,7
381,6
382,2
383,7
384,4
385,6
386,0
387,2
388,6
389,6
390,6
391,5
392,4
393,5
394,5
395,5
396,9
397,6
398,6
399,3
400,7
401,8
402,0
403,9
404,6
405,6
406,0
407,4
408,1
409,0
410,0
411,3
412,1
413,2
414,5
415,5
416,1
417,2
418,6
419,2
420,2
421,0
422,7
423,5
424,4
425,4
426,4
427,8
428,8
429,6
430,1
431,2
432,2
433,1
434,4
435,3
436,1
437,6
438,5
439,1
440,3
441,6
442,9
443,1
444,3
445,5
446,7
447,1
448,8
449,0
450,4
451,8
452,5
453,6
454,5
455,8
456,3
457,9
458,4
459,3
460,1
461,0
462,1
463,6
464,2
465,6
466,6
467,4
468,9
469,1
470,0
471,2
472,2
473,7
474,5
475,1
476,9
477,5
478,5
479,4
480,4
481,0
482,2
483,6
484,5
485,3
486,6
487,1
488,2
489,3
490,5
491,6
492,0
493,9
494,4
495,5
496,4
497,6
498,7
499,4
500,5
501,9
502,8
503,5
504,3
505,2
506,1
507,4
508,6
509,9
510,5
511,2
512,2
513,7
514,6
515,1
516,9
517,0
518,2
519,3
520,3
521,8
522,4
523,6
524,1
525,9
526,3
527,0
528,3
529,1
530,5
531,9
532,6
533,4
534,1
535,7
536,1
537,3
538,3
539,5
540,5
541,0
542,8
543,8
544,1
545,7
546,1
547,0
548,2
549,6
550,1
551,5
552,0
553,8
554,0
555,3
556,4
557,7
558,9
559,7
560,4
561,1
562,4
563,6
564,4
565,9
566,1
567,6
568,2
569,7
570,1
571,4
572,4
573,3
574,1
575,0
576,7
577,5
578,9
579,4
580,1
581,6
582,7
583,9
584,5
585,9
586,5
587,2
588,9
589,2
590,5
591,5
592,6
593,2
594,8
595,1
596,9
597,6
598,9
599,3
600,5
601,1
602,9
603,8
604,8
605,4
606,0
607,6
608,7
609,2
610,1
611,9
612,4
613,1
614,9
615,1
616,7
617,0
618,9
619,3
620,5
621,4
622,1
623,7
624,5
625,4
626,9
627,4
628,0
629,1
630,0
631,1
632,0
633,0
634,8
635,7
636,0
637,5
638,7
639,8
640,4
641,1
642,7
643,1
644,8
645,9
646,6
647,4
648,1
649,2
650,1
651,1
652,1
653,0
654,3
655,2
656,0
657,4
658,9
659,0
660,3
661,3
662,1
663,2
664,1
665,4
666,1
667,2
668,8
669,0
670,6
671,7
672,7
673,1
674,9
675,7
676,2
677,9
678,7
679,4
680,5
681,4
